"","X1","X600","X0","X0.1","X0.2","X1.997","X0.3"
"1",1,600,0,0,0,1.997,0
"2",2,600,0,0,0,2.09,0
"3",3,600,0,0,0,1.935,0
"4",4,600,0,0,0,2.076,0
"5",5,600,0,0,0,2.102,0
"6",6,600,0,0,0,2.072,0
"7",7,600,0,0,0,2.067,0
"8",8,600,0,0,0,2.092,0
"9",9,600,0,0,0,2.127,0
"10",10,600,0,0,0,2.044,0
"11",11,600,0,0,0,2.089,0
"12",12,600,0,0,0,2.182,0
"13",13,600,0,0,0,2.046,0
"14",14,600,0,0,0,2.051,0
"15",15,600,0,0,0,2.073,0
"16",16,600,0,0,0,2.101,0
"17",17,600,0,0,0,2.033,0
"18",18,600,0,0,0,2.063,0
"19",19,600,0,0,0,2.091,0
"20",20,600,0,0,0,1.991,0
"21",21,600,0,0,0,1.964,0
"22",22,600,0,0,0,1.992,0
"23",23,600,0,0,0,2.093,0
"24",24,600,0,0,0,1.957,0
"25",25,600,0,0,0,2.051,0
"26",26,600,0,0,0,2.086,0
"27",27,600,0,0,0,2.138,0
"28",28,600,0,0,0,1.963,0
"29",29,600,0,0,0,2.106,0
"30",30,600,0,0,0,2.12,0
"31",1,600,0,0,0.333333333333333,2.06100000000001,0
"32",2,600,0,0,0.333333333333333,2.077,0
"33",3,600,0,0,0.333333333333333,2.11399999999999,0
"34",4,600,0,0,0.333333333333333,2.081,0
"35",5,600,0,0,0.333333333333333,2.05500000000001,0
"36",6,600,0,0,0.333333333333333,2.00099999999999,0
"37",7,600,0,0,0.333333333333333,2.113,0
"38",8,600,0,0,0.333333333333333,2.066,0
"39",9,600,0,0,0.333333333333333,2.075,0
"40",10,600,0,0,0.333333333333333,2.113,0
"41",11,600,0,0,0.333333333333333,2.08799999999999,0
"42",12,600,0,0,0.333333333333333,2.048,0
"43",13,600,0,0,0.333333333333333,1.992,0
"44",14,600,0,0,0.333333333333333,2.11799999999999,0
"45",15,600,0,0,0.333333333333333,2.075,0
"46",16,600,0,0,0.333333333333333,2.084,0
"47",17,600,0,0,0.333333333333333,2.069,0
"48",18,600,0,0,0.333333333333333,2.036,0
"49",19,600,0,0,0.333333333333333,1.953,0
"50",20,600,0,0,0.333333333333333,2.02200000000001,0
"51",21,600,0,0,0.333333333333333,2.05199999999999,0
"52",22,600,0,0,0.333333333333333,2.08500000000001,0
"53",23,600,0,0,0.333333333333333,2.08399999999999,0
"54",24,600,0,0,0.333333333333333,2.107,0
"55",25,600,0,0,0.333333333333333,2.148,0
"56",26,600,0,0,0.333333333333333,2.08600000000001,0
"57",27,600,0,0,0.333333333333333,2.12299999999999,0
"58",28,600,0,0,0.333333333333333,2.139,0
"59",29,600,0,0,0.333333333333333,2.102,0
"60",30,600,0,0,0.333333333333333,2.075,0
"61",1,600,0,0,0.666666666666667,1.992,0
"62",2,600,0,0,0.666666666666667,2.122,0
"63",3,600,0,0,0.666666666666667,2.03899999999999,0
"64",4,600,0,0,0.666666666666667,2.07300000000001,0
"65",5,600,0,0,0.666666666666667,2.006,0
"66",6,600,0,0,0.666666666666667,2.10300000000001,0
"67",7,600,0,0,0.666666666666667,1.96100000000001,0
"68",8,600,0,0,0.666666666666667,2.07300000000001,0
"69",9,600,0,0,0.666666666666667,2.10700000000003,0
"70",10,600,0,0,0.666666666666667,2.054,0
"71",11,600,0,0,0.666666666666667,2.06400000000002,0
"72",12,600,0,0,0.666666666666667,2.11100000000002,0
"73",13,600,0,0,0.666666666666667,2.08000000000001,0
"74",14,600,0,0,0.666666666666667,2.05600000000001,0
"75",15,600,0,0,0.666666666666667,2.06800000000001,0
"76",16,600,0,0,0.666666666666667,2.119,0
"77",17,600,0,0,0.666666666666667,2.047,0
"78",18,600,0,0,0.666666666666667,2.00800000000001,0
"79",19,600,0,0,0.666666666666667,2.06999999999999,0
"80",20,600,0,0,0.666666666666667,2.05599999999998,0
"81",21,600,0,0,0.666666666666667,2.02799999999999,0
"82",22,600,0,0,0.666666666666667,2.10299999999998,0
"83",23,600,0,0,0.666666666666667,2.102,0
"84",24,600,0,0,0.666666666666667,1.96800000000002,0
"85",25,600,0,0,0.666666666666667,2.06900000000002,0
"86",26,600,0,0,0.666666666666667,2.09899999999999,0
"87",27,600,0,0,0.666666666666667,2.125,0
"88",28,600,0,0,0.666666666666667,2.071,0
"89",29,600,0,0,0.666666666666667,2.00200000000001,0
"90",30,600,0,0,0.666666666666667,2.114,0
"91",1,600,0,0,1,2.07900000000001,0
"92",2,600,0,0,1,1.99299999999999,0
"93",3,600,0,0,1,2.11100000000002,0
"94",4,600,0,0,1,2.12199999999999,0
"95",5,600,0,0,1,2.142,0
