"","m","vx","vy","vp"
"1",6,-2.35977937734142,43.3802377360894,43.444373453295
"2",4,14.2300696265662,-9.33950275609003,17.0211983511131
"3",6,-4.63610563688864,7.29337860977689,8.6421552301461
"4",1,-24.1309281394776,-6.0068849040019,24.8673351833798
"5",9,-2.70896391522236,0.309607540784538,2.726599039699
"6",6,-19.0276063257866,-7.94545881903286,20.6198961766072
"7",2,43.6991006742637,0.545388789536619,43.7025039176382
"8",10,-4.25946299661375,-0.0124576027287064,4.25948121387894
"9",3,16.569910754668,11.0377791858722,19.9096587558334
"10",3,-16.3695083985422,3.13280384143667,16.6665912867288
"11",8,-2.3749524310969,-1.74592632327921,2.94765292670157
"12",1,19.4402421730845,-25.6335705676313,32.1714618224585
"13",3,-13.3419968293318,0.315532463889876,13.3457274110357
"14",4,-12.1858043456312,2.55993568348812,12.4517909657045
"15",4,17.9374053650526,-4.513994164285,18.4966660386519
"16",4,26.1083312746217,-4.32450397409569,26.4640566914326
"17",5,-7.82096209256396,3.38425112750328,8.52177233604194
"18",1,20.8276051437318,38.4582362950394,43.7358557129992
"19",5,8.01752847870625,-9.20913228734326,12.2101957557057
"20",5,3.88020066117633,6.29828969844794,7.39759489946352
"21",5,-1.55433994927816,-5.34139189363413,5.56295245704136
"22",2,9.30285248830686,-21.6981004366305,23.6082745446866
"23",1,-57.3116604750877,-111.189930973973,125.091275380854
"24",2,-9.10258657719555,0.589325153941012,9.12164385033796
"25",2,60.2230828533788,-22.1658355702649,64.1727666139847
"26",3,-8.43161946024307,9.33010717890163,12.575496280153
"27",3,-8.30444272991227,-11.9186600844331,14.5264664410397
"28",6,-12.1645050223873,0.900210374878801,12.197768695902
"29",5,-9.43312504416352,1.83775880102934,9.61047374012259
"30",6,-2.21430443616574,2.3468470723608,3.22658260657801
"31",6,-0.165113102255549,4.71571377201367,4.71860347095365
"32",4,3.11284069436521,35.7728703744161,35.9080496826724
"33",6,-4.45585511705445,-4.94644173305053,6.65747179060071
"34",5,49.5676354514183,-11.8803434031799,50.9714924602192
"35",7,2.57427955619266,1.83686057458981,3.16243134374707
"36",7,-0.999468232241209,3.96177645477981,4.08590374640752
"37",1,-18.650264768214,-12.6668141017287,22.5450782968753
"38",8,6.02637325882924,2.33958867514095,6.46458427306659
"39",4,2.79897276553357,-13.638126528351,13.9223828328886
"40",7,-4.38913845942941,-1.34488034542638,4.59055983073487
"41",9,-4.07408713809645,2.18219641318808,4.62170609131885
"42",6,19.9653090285241,-13.5135947247007,24.1087288546685
"43",8,-23.7070438861806,-13.1390966324203,27.1046082823083
"44",4,-11.3459961889293,4.80820890465712,12.3227635857393
"45",4,-9.55986467071312,-2.82316684551596,9.96801301965288
"46",2,-11.4121080419297,-19.091119087389,22.2420106548294
"47",1,-16.8751772947228,11.9578564615137,20.6824065302492
"48",3,-7.95964292223398,0.0433005588144912,7.95976069915818
"49",6,9.62210799915973,6.27104660853957,11.4852508859828
"50",9,4.83615216855546,5.47989357612098,7.30873459656565
"51",6,-2.91414238772377,42.8553893297498,42.954355081416
"52",4,14.0450890849889,-9.25167920280237,16.8183856382484
"53",6,-4.59118189410778,7.37101749333824,8.68394208132927
"54",1,-22.7675981740366,-8.36875667213682,24.2569498258093
"55",9,-2.60999968500512,0.148912200006649,2.61424428832457
"56",6,-18.9926086680896,-7.84019315338657,20.5472093653031
"57",2,42.3810151152445,0.910266719649573,42.3907894205744
"58",10,-4.22540149374914,0.0198546307866641,4.22544814069953
"59",3,16.8409513058511,10.8503835122922,20.0336832172686
"60",3,-16.2512072324894,3.18172919866386,16.5597444789147
"61",8,-2.31553083791368,-1.86138815983251,2.97093401860323
"62",1,19.6793370461521,-25.18563409606,31.9623602288172
"63",3,-13.126676453938,0.326307978925583,13.130731572288
"64",4,-12.4969318718503,2.57812638438092,12.760095683948
"65",4,17.7630514680502,-4.50083649596666,18.3243970329183
"66",4,25.7450086894654,-4.23437273652987,26.0909061723144
"67",5,-7.74849463835639,3.39784193830538,8.46076231780237
"68",1,21.7525110726282,38.3192137479302,44.062840128893
"69",5,7.89641466899031,-9.04863101092652,12.0096247983252
"70",5,4.41247626642111,6.27682117871097,7.6725765497155
"71",5,-1.52052453965228,-5.11265707592015,5.33397199576837
"72",2,9.69440113031392,-21.7822463431425,23.8421406133925
"73",1,-39.1104818116609,-94.6885668847729,102.447813477069
"74",2,-8.02834117764967,0.393557875548135,8.0379817035218
"75",2,59.4075335384563,-21.8278787979834,63.2906891567967
"76",3,-7.44985510582933,9.90987051450229,12.3978173366143
"77",3,-8.23721880881022,-12.1739740261503,14.6988917029006
"78",6,-12.0971833655433,0.956578295872297,12.1349448872136
"79",5,-9.61565701182416,1.82007660327124,9.78639558830617
"80",6,-2.02666752765042,2.43397325818012,3.16727123706964
"81",6,0.104302634730623,4.76923376186698,4.77037416928102
"82",4,2.60562621559711,34.4544841049551,34.5528690981517
"83",6,-4.52039306082798,-5.21777399635646,6.90355842312031
"84",5,48.9750842198876,-11.5890872269827,50.3275850513383
"85",7,2.66044357422157,1.72123581690563,3.16869259301303
"86",7,-0.941424164024288,4.06884124704688,4.17633194924432
"87",1,-19.2817198796275,-11.622155214108,22.513534003733
"88",8,6.04847453538448,2.23627423525503,6.44864068315641
"89",4,2.73862218278374,-13.4023678152318,13.6793097236226
"90",7,-5.25538607724013,-2.39145784549012,5.77392011094765
"91",9,-4.22997584679134,2.18377742549351,4.7604179972491
"92",6,19.5894340556033,-13.14316357984,23.5900121980737
"93",8,-23.7010403606315,-13.0869602711404,27.0741175906933
"94",4,-11.2026258412356,4.50498785255043,12.0745079108983
"95",4,-9.58719626806553,-2.98600154680153,10.0414410081378
"96",2,-11.3052398456658,-19.4008278734875,22.4544109284728
"97",1,-20.9003928513907,10.5433213261295,23.4091444937332
"98",3,-9.16295065020087,-0.593793068278094,9.1821704855634
"99",6,9.28230744451981,6.13279848334266,11.1253066803517
"100",9,4.81792663992229,5.48338053711226,7.29930676314227
"101",6,-4.05358591224498,41.5858979469267,41.7829925543893
"102",4,13.8219919855008,-9.18323093774126,16.5945531094735
"103",6,-4.52748690528237,7.46132371522853,8.72751334922698
"104",1,-20.7511050789921,-10.9902836124548,23.481794988492
"105",9,-2.47926309398404,-0.0653332223849828,2.48012377093131
"106",6,-18.9506918155081,-7.7309838024025,20.4669692636544
"107",2,40.856574308434,1.34992730228435,40.8788694552826
"108",10,-4.16865560962464,0.0567389106185101,4.16904172390168
"109",3,17.1448585659542,10.6334257649528,20.1746355294299
"110",3,-15.9546561870683,3.21696345831731,16.2757460025556
"111",8,-2.22879501845317,-1.96755674277745,2.97301307940793
"112",1,20.0856965677333,-24.6450888711169,31.7933265336658
"113",3,-12.8928382517499,0.323368272593978,12.8968928515943
"114",4,-12.8282671122142,2.58015059485181,13.0851677174742
"115",4,17.5974371418395,-4.47883678558812,18.158462845542
"116",4,25.3118310271454,-4.12160324170014,25.6452023432991
"117",5,-7.6760447440201,3.43664479758966,8.41024318179912
"118",1,22.8718635101019,38.1222821024776,44.4570639283074
"119",5,7.74820535788796,-8.90251540681206,11.8020958662659
"120",5,5.05918901680357,6.22653237368644,8.02278623099925
"121",5,-1.42375378632221,-4.85359038515735,5.05810384145667
"122",2,10.1759007796909,-21.8208035654211,24.0768856980882
"123",1,-28.0285240341141,-83.7136097109189,88.2811792533548
"124",2,-6.81718665850805,0.0533631155798813,6.81739551141376
"125",2,58.3752365098254,-21.2255321757679,62.114341771628
"126",3,-5.28018479309954,11.8875088874353,13.0074293770188
"127",3,-8.13383307095927,-12.4819393328025,14.8982566072005
"128",6,-12.032219194366,1.0039281431858,12.0740287583702
"129",5,-9.81071153458094,1.78426497550208,9.97164290964949
"130",6,-1.79816841498878,2.52282642169103,3.09807404731482
"131",6,0.41871808548235,4.81691317685271,4.8350778058318
"132",4,1.90933763697511,32.9345839858384,32.9898831845797
"133",6,-4.52994086302208,-5.44076890297186,7.07971259854684
"134",5,48.1992827132847,-11.2473349222972,49.494175383872
"135",7,2.93353753943023,1.52230483358504,3.30500446317441
"136",7,-0.870001384127135,4.18707214795222,4.27650272776019
"137",1,-19.6854308668278,-10.3453529252312,22.2383118864774
"138",8,6.07941647528343,2.13893066720743,6.4447132658535
"139",4,2.62639314640697,-13.2285147785499,13.4867173250501
"140",7,-5.68031583190056,-2.63338846798338,6.26104805711057
"141",9,-4.3855274146814,2.19757386636932,4.90532176345972
"142",6,19.102564718087,-12.7308800474436,22.9561165180677
"143",8,-23.6937443982607,-13.028409568467,27.039470769485
"144",4,-11.0773224658748,4.18817524796788,11.8426299832708
"145",4,-9.47672794975375,-3.18451442265918,9.99747491828653
"146",2,-11.1543692748867,-19.7742353285586,22.703311140663
"147",1,-26.1079717510766,9.18802050466052,27.6775343870995
"148",3,-9.55983261240884,-0.798435995469243,9.59311730440823
"149",6,8.89437474604404,5.98023379798514,10.7178868440393
"150",9,4.79375732148309,5.48743808889949,7.28643163947743
"151",6,-4.41882289601758,38.3446823667225,38.5984541347345
"152",4,13.5673954783174,-9.13675134302796,16.3570915865074
"153",6,-4.4534074998522,7.56012580160551,8.77430000033286
"154",1,-17.7294336566612,-13.5747455385522,22.3294991932733
"155",9,-2.20954644360893,-0.435019214810896,2.25196296677355
"156",6,-18.9010941522878,-7.61487731472797,20.3773824784247
